0.0,-1
0.25,1
0.5,-1
0.75,1
1.0,-1
1.25,1
1.5,-1
1.75,1
2.0,-1
2.25,1
2.5,-1
2.75,1
3.0,-1
3.25,1
3.5,-1
3.75,1
4.0,-1
4.25,1
4.5,-1
4.75,1
5.0,-1
5.25,1
5.5,-1
5.75,1
6.0,-1
6.25,1
6.5,-1
6.75,1
7.0,-1
7.25,1
7.5,-1
7.75,1
8.0,-1
8.25,1
8.5,-1
8.75,1
9.0,-1
9.25,1
9.5,-1
9.75,1
10.0,-1
10.25,1
10.5,-1
10.75,1
11.0,-1
11.25,1
11.5,-1
11.75,1
12.0,-1
12.25,1
12.5,-1
12.75,1
13.0,-1
13.25,1
13.5,-1
13.75,1
14.0,-1
14.25,1
14.5,-1
14.75,1
15.0,-1
15.25,1
15.5,-1
15.75,1
16.0,-1
16.25,1
16.5,-1
16.75,1
17.0,-1
17.25,1
17.5,-1
17.75,1
18.0,-1
18.25,1
18.5,-1
18.75,1
19.0,-1
19.25,1
19.5,-1
19.75,1
20.0,-1
20.25,1
20.5,-1
20.75,1
21.0,-1
21.25,1
21.5,-1
21.75,1
22.0,-1
22.25,1
22.5,-1
22.75,1
23.0,-1
23.25,1
23.5,-1
23.75,1
24.0,-1
24.25,1
24.5,-1
24.75,1
25.0,-1
25.25,1
25.5,-1
25.75,1
26.0,-1
26.25,1
26.5,-1
26.75,1
27.0,-1
27.25,1
27.5,-1
27.75,1
28.0,-1
28.25,1
28.5,-1
28.75,1
29.0,-1
29.25,1
29.5,-1
29.75,1
30.0,-1
30.25,1
30.5,-1
30.75,1
31.0,-1
31.25,1
31.5,-1
31.75,1
32.0,-1
32.25,1
32.5,-1
32.75,1
33.0,-1
33.25,1
33.5,-1
33.75,1
34.0,-1
34.25,1
34.5,-1
34.75,1
35.0,-1
35.25,1
35.5,-1
35.75,1
36.0,-1
36.25,1
36.5,-1
36.75,1
37.0,-1
37.25,1
37.5,-1
37.75,1
38.0,-1
38.25,1
38.5,-1
38.75,1
39.0,-1
39.25,1
39.5,-1
39.75,1
40.0,-1
40.25,1
40.5,-1
40.75,1
41.0,-1
41.25,1
41.5,-1
41.75,1
42.0,-1
42.25,1
42.5,-1
42.75,1
43.0,-1
43.25,1
43.5,-1
43.75,1
44.0,-1
44.25,1
44.5,-1
44.75,1
45.0,-1
45.25,1
45.5,-1
45.75,1
46.0,-1
46.25,1
46.5,-1
46.75,1
47.0,-1
47.25,1
47.5,-1
47.75,1
48.0,-1
48.25,1
48.5,-1
48.75,1
49.0,-1
49.25,1
49.5,-1
49.75,1
50.0,-1
50.25,1
50.5,-1
50.75,1
51.0,-1
51.25,1
51.5,-1
51.75,1
52.0,-1
52.25,1
52.5,-1
52.75,1
53.0,-1
53.25,1
53.5,-1
53.75,1
54.0,-1
54.25,1
54.5,-1
54.75,1
55.0,-1
55.25,1
55.5,-1
55.75,1
56.0,-1
56.25,1
56.5,-1
56.75,1
57.0,-1
57.25,1
57.5,-1
57.75,1
58.0,-1
58.25,1
58.5,-1
58.75,1
59.0,-1
59.25,1
59.5,-1
59.75,1
60.0,-1
60.25,1
60.5,-1
60.75,1
61.0,-1
61.25,1
61.5,-1
61.75,1
62.0,-1
62.25,1
62.5,-1
62.75,1
63.0,-1
63.25,1
63.5,-1
63.75,1
64.0,-1
64.25,1
64.5,-1
64.75,1
65.0,-1
65.25,1
65.5,-1
65.75,1
66.0,-1
66.25,1
66.5,-1
66.75,1
67.0,-1
67.25,1
67.5,-1
67.75,1
68.0,-1
68.25,1
68.5,-1
68.75,1
69.0,-1
69.25,1
69.5,-1
69.75,1
70.0,-1
70.25,1
70.5,-1
70.75,1
71.0,-1
71.25,1
71.5,-1
71.75,1
72.0,-1
72.25,1
72.5,-1
72.75,1
73.0,-1
73.25,1
73.5,-1
73.75,1
74.0,-1
74.25,1
74.5,-1
74.75,1
75.0,-1
75.25,1
75.5,-1
75.75,1
76.0,-1
76.25,1
76.5,-1
76.75,1
77.0,-1
77.25,1
77.5,-1
77.75,1
78.0,-1
78.25,1
78.5,-1
78.75,1
79.0,-1
79.25,1
79.5,-1
79.75,1
80.0,-1
80.25,1
80.5,-1
80.75,1
81.0,-1
81.25,1
81.5,-1
81.75,1
82.0,-1
82.25,1
82.5,-1
82.75,1
83.0,-1
83.25,1
83.5,-1
83.75,1
84.0,-1
84.25,1
84.5,-1
84.75,1
85.0,-1
85.25,1
85.5,-1
85.75,1
86.0,-1
86.25,1
86.5,-1
86.75,1
87.0,-1
87.25,1
87.5,-1
87.75,1
88.0,-1
88.25,1
88.5,-1
88.75,1
89.0,-1
89.25,1
89.5,-1
89.75,1
90.0,-1
90.25,1
90.5,-1
90.75,1
91.0,-1
91.25,1
91.5,-1
91.75,1
92.0,-1
92.25,1
92.5,-1
92.75,1
93.0,-1
93.25,1
93.5,-1
93.75,1
94.0,-1
94.25,1
94.5,-1
94.75,1
95.0,-1
95.25,1
95.5,-1
95.75,1
96.0,-1
96.25,1
96.5,-1
96.75,1
97.0,-1
97.25,1
97.5,-1
97.75,1
98.0,-1
98.25,1
98.5,-1
98.75,1
99.0,-1
99.25,1
99.5,-1
99.75,1
100.0,-1
100.25,1
100.5,-1
100.75,1
101.0,-1
101.25,1
101.5,-1
101.75,1
102.0,-1
102.25,1
102.5,-1
102.75,1
103.0,-1
103.25,1
103.5,-1
103.75,1
104.0,-1
104.25,1
104.5,-1
104.75,1
105.0,-1
105.25,1
105.5,-1
105.75,1
106.0,-1
106.25,1
106.5,-1
106.75,1
107.0,-1
107.25,1
107.5,-1
107.75,1
108.0,-1
108.25,1
108.5,-1
108.75,1
109.0,-1
109.25,1
109.5,-1
109.75,1
110.0,-1
110.25,1
110.5,-1
110.75,1
111.0,-1
111.25,1
111.5,-1
111.75,1
112.0,-1
112.25,1
112.5,-1
112.75,1
113.0,-1
113.25,1
113.5,-1
113.75,1
114.0,-1
114.25,1
114.5,-1
114.75,1
115.0,-1
115.25,1
115.5,-1
115.75,1
116.0,-1
116.25,1
116.5,-1
116.75,1
117.0,-1
117.25,1
117.5,-1
117.75,1
118.0,-1
118.25,1
118.5,-1
118.75,1
119.0,-1
119.25,1
119.5,-1
119.75,1
120.0,-1
120.25,1
120.5,-1
120.75,1
121.0,-1
121.25,1
121.5,-1
121.75,1
122.0,-1
122.25,1
122.5,-1
122.75,1
123.0,-1
123.25,1
123.5,-1
123.75,1
124.0,-1
124.25,1
124.5,-1
124.75,1
125.0,-1
125.25,1
125.5,-1
125.75,1
126.0,-1
126.25,1
126.5,-1
126.75,1
127.0,-1
127.25,1
127.5,-1
127.75,1
